Unit #,Type,Location,Zip / County,Description,Size,Face,Lat.,Long.,18+ Imp
NY.AD.DSCP,Digital Bulletin,1 Meadowlands Plaza,07073 / Bergen,"The Dreamscape Network is an integrated network of 7 large format LEDs Digitals
capturing traffic from all entry points to American Dream. With over 7,800 sq ft of LED, The Dreamscape Network delivers a synchronized brand message to all incoming guests as well as the heavy daily traffic on Rt. 3 and Rt. 120. Additionally, with 6 of the 7 faces directly visible
from MetLife Stadium parking (NY Giants/NY Jets/live concerts and events) the Dreamscape Network is a perfect platform for reaching NFL tailgaters and concert goers.. This is a world-class entertainment and retail destination located in East Rutherford, NJ and just minutes from midtown Manhattan.",168 x 576,,40.806,-74.079,169750
435D,Digital Bulletin,Rt 3 187' E/O Meadowlands,07073 / Bergen,"High Profile bulletin directly across from Met Life Stadium, home to the New York Giants and Jets. Each year Met Life hosts 20 NFL games, major concerts, college sporting events, International soccer matches, motor sports and family shows. It is named the Top Grossing Stadium in the world!! Excellent traffic for travelers heading towards Manhattan via the Lincoln Tunnel and for passengers arriving at Teterboro Airport en route to Manhattan.",168 x 576,West,40.806,-74.076,238338
ITM Shuttle,Bus Wraps,Morris Corporate Shuttle,/,"Morris Corporate Shuttle connects the Convent Station NJT rail stop on the Morris & Essex Line with a number of venues in Morris Township, Madison and Florham Park. This includes door to door service to several corporate headquarters, including Crum & Forster, Novartis and Realogy. The shuttle also stops at buildings 100-600 on Campus Drive, Farleigh Dickinson University and the Wyndham Hotel.",0 x 0,,40.802,-74.476,0
437D,Bulletin,"Route 3, 802' W/O Paterson Plank Rd",07094 / Hudson,"This bulletin is located on Rt. 3 in Secaucus, NJ, just 3 miles west of the Lincoln Tunnel and minutes away from MetLife Stadium, home of the NY Giants & the NY Jets. Just ahead is The Plaza at Harmon Meadow which has dining, hotels, shopping, and entertainment. Rt. 3 is a heavily congested roadway and is the main thoroughfare into New York City. Motorists could be traveling from Bergen county via Rt. 80 and Rt. 17, as well as Essex county via Rt. 46 and the NJ Turnpike",168 x 576,West,40.796,-74.061,540478
NYC-MBB05,Digital Truck,North Mahanttan,/ New York County,,0 x 0,,40.783,-73.971,0
Q128,Wallscape,20th Ave @ 129th St.,11356 / Queens,"College Point Retail Center a few blocks away from this unit and is a 330,000-square-foot retail center in Queens
with tenants including Target, BJ’s Wholesale Club, Buffalo Wild Wings, PC Richard & Son and T.J. Maxx. Heavy traffic
on 20th Ave and a RHR. Great unit as well for any Citifield OOH placements.",216 x 132,East,40.782,-73.84,94139
427C,Bulletin,"NJ Turnpike @ MM 112.6, N/O Exit 16E @ I-495",07094 /,"This inescapable bulletin reads to northbound traffic on the NJ Turnpike at exit 16E. After exiting the heavily congested tollbooth at 16E, traffic could feed onto I-495 for Manhattan via the Lincoln Tunnel or continue northbound on the turnpike for the George Washington Bridge or I-80. Traffic could also exit at Route 3 for Seacaucus NJ or Meadowlands Sports Complex.",168 x 576,South,40.781,-74.056,505945
446B,Digital Bulletin,"Rte 3, 935' E/O Paterson Plank Rd Overpass @ I-495 Split",07094 / Hudson,"Traffic Origin
Westbound I-495 traffic, Manhattan via Lincoln Tunnel, Hoboken, Weekhawken, Secaucus
Traffic Destination
Garden State Parkway, New Jersey Turnpike, Route 17, Route 21, Hudson, Bergen, Essex and Passaic counties
Area Points of Interest
MetLife Stadium, Teterboro Airport, New Jersey Metro Market",168 x 576,East,40.781,-74.047,208235
447D,Digital Bulletin,"Rte 3, 935' E/O Paterson Plank Rd Overpass @ I-495 Split",07094 / Hudson,"Traffic Origin
Eastbound Route 3 traffic, MetLife Stadium, Route 17, Garden State Parkway, New Jersey Turnpike, Suburban Bergen, Essex & Passaic Counties
Traffic Destination
Manhattan via Lincoln Tunnel, Hoboken, Weehawken, Secaucus, all points east
Area Points of Interest
MetLife Stadium, Manhattan, Teterboro Airport, New Jersey Turnpike, Lincoln Tunnel, Medieval Times",168 x 576,West,40.781,-74.047,421633
448B,Digital Bulletin,"I-495, @ Route 3, 0.3 miles E/O NJTP, Exit 16E",07094 / Hudson,"Traffic Origin Westbound I-495 traffic, Manhattan via Lincoln Tunnel, Hoboken, Weekhawken, Secaucus Traffic Destination Newark, Jersey City, Newark Liberty Airport, I-78, I-278, Staten Island, Garden State Parkway, New Jersey Turnpike Area Points of Interest
Newark Liberty Airport, Staten Island, New Jersey Metro, MetLife Stadium",168 x 576,East,40.78,-74.05,214071
30034,Digital Bulletin,ASTORIA BOULEVARD E/O STEINWAY STREET F/E,11105 / Queens County,,168 x 576,East,40.769,-73.909,261087
30056,Digital Bulletin,ASTORIA BOULEVARD EAST OF STEINWAY STREET,11103 / Queens County,,168 x 576,West,40.768,-73.908,205561
NY1151S,Bulletin,11th Ave & West 52nd Street,10019 /,"This rooftop bulletin shows to traffic heading north on 11th Ave, right in the center of autmobile mile, the home to over a dozen of auto dealerships including Mercedes, BMW, Lexus, etc.",312 x 288,South East,40.767,-73.994,253644
NYC FERRY / SOUTH BROOKLYN ROUTE,Digital Display,NYC High Speed Ferry network,10001 / Queens County,"LANDSCAPE SCREEN 36.8”H X 65.4”W / 1 PER VESSEL

PORTRAIT SCREEN 27.9”H X 15.7”W / 5 PER VESSEL

The lines are south Brooklyn which begins in Bay Ridge and has stops along the Brooklyn waterfront to Wall Street. They include Red Hook, Atlantic Ave near Barclays Center and Dumbo.",0 x 0,,40.766,-73.92,0
GSO501,Digital Bulletin,John F Kennedy Boulevard at the Lincoln Tunnel,07086 / Hudson County,"This new 2 - sided digital bulletin has a combined Geopath impression rating of
1,370,280 views weekly. This makes it in combination, the #1 demographically rated
digital bulletin in the NY DMA. This digital unit is adjacent to the Lincoln tunnel toll
plaza. Traffic is known to back up regularly on a daily basis. This route is the connection to
Manhatten from I-95, I-495, I-80, Rt. 3 & Rt. 17",192 x 720,South,40.764,-74.023,3048382
GSO502,Digital Bulletin,John F Kennedy Boulevard at the Lincoln Tunnel,07086 / Hudson County,"This new 2 - sided digital bulletin has a combined Geopath impression rating of
1,370,280 views weekly. This makes it in combination, the #1 demographically rated
digital bulletin in the NY DMA. This digital unit is adjacent to the Lincoln tunnel toll
plaza. Traffic is known to back up regularly on a daily basis. This route is the connection to
Manhatten from I-95, I-495, I-80, Rt. 3 & Rt. 17",192 x 720,North,40.764,-74.023,811238
NYCD-910,Digital Bulletin,John F Kennedy Blvd @ The Lincoln Tunnel,07086 / Hudson County,"DOUBLE-SIDED Lincoln Tunnel bulletins are located on the New Jersey side of the Tunnel offering an astonishing 1,436,880 weekly impressions which is 3x greater than any signs on the New York side at the Lincoln Tunnel! These DOUBLE-SIDED digital spectaculars are one of the last signage opportunities seen by vehicular traffic as you enter the tunnel. They also show to the high-volume of traffic on the parallel JFK Boulevard which connects traffic to Manhattan, Jersey City and Hoboken. Double Impact is seen by Manhattan-bound traffic on JFK Boulevard, traffic on the Helix entering the Lincoln Tunnel, and traffic heading into New Jersey!",192 x 720,South,40.764,-74.023,3048382
M625,Wild Posting,West 46th St. @ 11th Avenue,10036 / New York,"Located just off the Westside Highway, this poster reads to pedestrian traffic headed West and Eat, as well as vehicular traffic heading east on W46th Street, also known as restaurant row for its abundance of eateries that line the block. This unit is directly outside the popular nightclub, Pacha. Also close by is the bus stop for the M12 and M50.NY Intrepid Museum a block away, and a very busy citibike rack directly across the street from this unit. Cyclist, runners, and electric bikes zip past this unit",96 x 576,South,40.764,-73.997,100043
M1691,Wallscape,53rd St @ Broadway   Midtown West/Times Square,10019 / New York,"Prominently located at the gateway to Times Square, next door to the Late Night with Stephen Colbert Show main
entrance, this unit is surrounded by hotels, theaters playing popular on Broadway productions, and full of bars and
eateries",408 x 132,South,40.764,-73.983,270247
410A,Bulletin,"NJ Turnpike @ MM 109.4, 0.5 miles N/O Exit 15W",07032 / Hudson,"This high visibility bulletin reads to Southbound traffic on the New Jersey Turnpike (Western Spur) at mile marker 109.4 (just South of Route 3). Traffic passing this location would have originated from I-80, the George Washington Bridge as well as the suburban communities of North Jersey. This bulletin will also capture traffic enroute to Newark International Airport.",168 x 576,North,40.762,-74.114,552296
411C,Bulletin,"NJ Turnpike @ MM 109.4, 0.5 miles N/O Exit 15W",07032 /,"The New Jersey Turnpike (aka I-95) is so heavily traveled through this area that the designers split the traffic into 2 alignments. This ""Gateway"" advertising unit, located on the Western spur, is spectacular. Positioned off an outside curve at exit 15W, the unobstructed view to this space carries a nearly 1/2 mile showing to travelers headed to I-80, the George Washington Bridge and the New England States.",168 x 576,South,40.762,-74.114,445030
NY-325,Bulletin,226 West 52nd Street,10009 / New York,"With a premium central Manhattan location and iconic sweeping views of Times Square, the Novotel New York Times Square hotel is situated in close proximity to the Broadway Theater district, Central Park, Rockefeller Center, World-class shopping, and Must-See Landmarks.",240 x 720,South East,40.762,-73.984,344328
NY-324,Bulletin,226 West 52nd Street,10009 / New York,"With a premium central Manhattan location and iconic sweeping views of Times Square, the Novotel New York Times Square hotel is situated in close proximity to the Broadway Theater district, Central Park, Rockefeller Center, World-class shopping, and Must-See Landmarks.",240 x 456,South East,40.762,-73.984,336221
NY-326,Bulletin,226 West 52nd Street,10009 / New York,"With a premium central Manhattan location and iconic sweeping views of Times Square, the Novotel New York Times Square hotel is situated in close proximity to the Broadway Theater district, Central Park, Rockefeller Center, World-class shopping, and Must-See Landmarks.",240 x 720,South East,40.762,-73.984,191682
408A,Bulletin,"NJ Turnpike @ MM 109.4, 0.5 miles N/O Exit 15W",07032 /,"Southbound motorists on the Western spur of the New Jersey Turnpike (aka I-95) are coming from I-80, the George Washington Bridge, the New England States and patrons of the many events held at the Meadow- lands Sports Complex.",168 x 576,North,40.762,-74.113,495871
NY-033,Wallscape,750 7th Avenue,10019 / New York,Non - Illuminated Times Square gargantuan wallscape is 3 stories tall and is located in the Mecca of outdoor advertising in the U.S. This unit received extremely high foot traffic as well as vehicular traffic. It is incorporated at a subway entrance which maximizes both tourist and local workers in the area. This spot is on the building that houses Morgan Stanley and is just around the corner from Barclay's U.S. Headquarters.,360 x 588,North,40.761,-73.984,508189
406A,Bulletin,"NJ Tnpk @ MM 108.9, 0.2 miles N/O Exit 15W",07032 /,"Southbound motorists on the Western alignment of the New Jersey Turnpike (aka I-95) are coming from I-80, the George Washington Bridge, the New England States and patrons of the many events held at the Meadowlands Sports Complex. Motorists could be en-route to the Newark International airport, the Garden State Parkway, or Long Island, NY, via the Verrazano Narrows Bridge.",168 x 576,North,40.761,-74.114,513430
CMJ1,Bulletin,49th Street and Broadway,10036 /,"Traffic Origin
Southbound traffic on Broadway, Westbound traffic on 49th Street, Times Square, Broadway, Midtown

Traffic Destination 
Times Square, Broadway, Midtown, Hells Kitchen, Port Authority Bus Terminal, Lincoln Tunnel

Area Points of Interest
Times Square, Broadway Theaters, Rockefeller Center, Museum of Modern Art, Carnegie Hall, Grand Central Terminal

Size: (1) 26' x 30' - (2) 33' x 30' (3) & (4) 33' x 60'",396 x 720,North West,40.761,-73.984,142125
NJ-01 FN,Bulletin,1834 Willow Ave @ Hoboken,07086 / Hudson,"Direct read for all Lincoln Tunnel traffic heading to Hoboken along one of the main arteries exiting the tunnel, which is less than 1/2 mile away. Hoboken is part of the New York metro area. The median age is 30, with 50% of its 40k residents in the 25-44 age group. It’s known for having an active night life, with 85+ bars per square mile, most per capita in the country. The city also contains Hoboken Terminal, a major transportation hub for the region.
· Viewable by traffic on 19th St. · Gateway to Hoboken & Lincoln Harbor Ave.",168 x 576,North,40.76,-74.028,439288
A157,Bulletin,7th Ave & 47th Street,10036 /,"This unique Times Square opportunity is located at the widest breadth of the Times Square bow-tie. Directly across the street from the TKTS booth. 50, 000 people stand in line weekly with wait times ranging from 20 minutes to well over an hour.",516 x 444,North West,40.759,-73.984,802463
462C SKYWALL,Digital Bulletin,46th & 7th Ave,10036 / New York County,"Full Motion. Northbound foot traffic on Broadway, Eastbound foot traffic on 46th Street, Northbound foot traffic on 7th Ave, Times Square, Broadway. Times Square, TKTS, Midtown, Broadway Theaters, Rockefeller Center, MoMa, Grand Central Terminal Illum: 6am-2am",1944 x 528,South,40.759,-73.985,149256
NY.NY.SS2,Wallscape,360 E 57th,10022 / New York County,"Located in the heart of the Upper East Side’s affluent Sutton Place neighborhood, this new streetscape dominates the visual landscape at one of the busiest intersections in the area (57th St and 1st Avenue). In addition to mingling with affluent residents in Sutton Place, this location captures daily traffic stemming from FDR Drive heading west towards the Queensboro Bridge entrance and into upper midtown retail, dining and entertainment areas.",144 x 960,,40.758,-73.963,0
30105,Digital Spectacular,BROADWAY & 7TH AVENUE @  W 45TH STREET,10036 / New York County,,420 x 276,West,40.758,-73.985,1155613
NYC-MBB01,Digital Truck,TImes Square,/ New York County,,0 x 0,,40.758,-73.986,0
407C,Bulletin,"NJ TNPK @ MM 108.9, 0.2 miles N/O Exit 15W",07032 /,"The New Jersey Turnpike (I-95) is so heavily traveled in this area that the designers spit it into two alignments. Located on the Western alignment at Exit 15W, this spectacular advertising space is viewed by travelers destined to I-80, the George Washington Bridge and the New England States.",168 x 576,South,40.757,-74.117,610050
NY-536,Wallscape,9th Avenue & 40th Street,10018 / New York,"This highly visible illuminated bulletin is located in the heart of Hudson Yards, at the entrance to
the Lincoln Tunnel. Traffic flowing passed this locations heads south towards Moynihan Station and
the trendy neighborhoods of Chelsea and Meatpacking District. The Hudson Yards Neighborhood is
located on Manhattan’s west side between Chelsea and Hell’s Kitchen and is considered the most
desirable new neighborhood in NYC. The neighborhood buzzes with activity and is known for chic art
galleries, trendy restaurants and bars, international fashion and design, high end shopping. The location
has major impact because it combines enormous general circulation with targeted circulation to the trendy areas south on 9th Avenue.",312 x 288,North,40.757,-73.994,875682
NYC4,Bulletin,42nd Between 7th & 8th Ave,11232 / New York,"This spectacular bulliten i located on world famous 42nd Street. It shows to heavy pedestrian and veicular traffic with over six million monthly commuters traveling to and from the Port Authority Bus Terminal. Located adjacent to AMC Empite 25 Screen Movie Theatre and Madam Tussaud's Wax Museum.
There are over 40 Broadway theatres in the vecinity and unlimited restaurants. Millions upon millions of tourists travel to times Scquare",168 x 576,North,40.757,-73.989,434401
30101,Digital Spectacular,42ND STREET BETWEEN 7TH & 8TH AVE,10036 / New York County,,1188 x 312,West,40.757,-73.987,747033
NY939,Wallscape,Lincoln Tunnel Approach at 9th Avenue,10018 / New York,This outstanding window wrap facing the bumper to bumper traffic on Ninth Ave heading into the Lincoln Tunnel on Manhattan's West Side. The area is alive with numerous resturants and hotels.,97 x 1320,North East,40.757,-73.994,406350
NYAG,Bus Wraps,Adirondack Garage,11232 /,"Offering unparalleled large format media throughout New York, Pennsylvania and norther New Jersey.
The Key coverage is in Albany, Syracuse, Plattsburgh, Utica, Binghampton, New York, Pennsylvania and New Jersey. Traveling on I-81, I-90, I-88, I-28 and I-87.",0 x 0,,40.756,-73.99,0
30102,Digital Spectacular,7TH AVE @ 42ND ST,10036 / New York County,,636 x 240,South,40.756,-73.987,1084624
MDD,Bus Wraps,Manhattan Double Decker,10036 /,"Amazing opportunity to have a mobile adverting option which runs through Manhattan in a loop passing all major points of interest including Times Square, The Empire State Building, MSG, Broadway, Chinatown, Little Italy, Wall Street, Canal Street, The Chrysler Building, The United Nations, The Metropolitan Museum, Rockefeller Center, Columbus Circle Central Park and many more.",0 x 0,,40.756,-73.987,0
NY 840W,Wallscape,Port Authority @ 40th Street,10018 /,"This outstanding high profile wallscape is clearly visible to very heavy pedestrian traffic exiting and entering the Port Authority Bus Terminal, two Times Square subway stations,",348 x 156,North,40.756,-73.991,395797
BLADE,Digital Bulletin,1460 Broadway & Times Square,10036 / New York,"The BLADE, a 3 sided unit is located at 8 Times Square on 41st and Broadway, is uniquely positioned at the gateway to Times Square’s major retail expansion towards Herald Square and Penn Station and defines the Southern End of the Times Square signage district. This display offers extensive sight lines both North into the heart of the Bowtie and South toward Herald Square and the Garment District.",878 x 88,North,40.755,-73.986,544876
NY-02,Digital Bulletin,10 TIMES SQUARE - 41st St & 7th Ave,10018 / New York,"Located in the south end of Times Square’s bow tie, this new landmark FULL MOTION digital is in a prime location reaching visitors & local commuters. Centrally located between Bryant Park and the Port Authority bus hub this corner display is in the middle of a revitalized retail and dining destination and just outside of the clutter of the over-saturated core of Times Square.",240 x 804,North East,40.755,-73.987,1319922
LEW01,Bulletin,West 36th Street & Dyer Avenue,10001 /,"Traffic Origin
Lincoln Tunnel, West 36th Street, Dyer Ave, New Jersey Turnpike, West Side Highway, Hells Kitchen, Chelsea
Traffic Destination
Midtown, Times Square, Broadway Theaters, Bryant Park, Penn Station, Lincoln Tunnel
Area Points of Interest
Javits Center, Hudson Yards, The High Line, Times Square, Penn Station, Port Authority, Lincoln Tunnel, Chelsea, Hells Kitchen",180 x 360,North,40.755,-73.996,101408
M202,Wallscape,W 40th Street @ 7th Ave,10018 / New York County,"This prime Midtown wallscape is surrounded by heavy vehicular and pedestrian exposure. It is situated among popular restaurants, shopping, parking garages, bars, QSR's, c-stores, hotels, multimillion dollar apartments and more!",180 x 120,West,40.755,-73.989,578209
M552,Bulletin,40th St @ Fashion Avenue,10018 / New York,"This rooftop bulletin provides dominant presence in the heart of Manhattan's Garment/Fashion District. Located on
Seventh Avenue, midway between Times Square (to the north) and Madison Square Garden/Penn Station (south).
Area chocked full of hotels, restaurants, and shopping. Directly across the St, is newly built Margaritaville Resort
Times Square sporting a rooftop pool and outdoor entertainment.",300 x 360,North,40.755,-73.988,432297
NY535,Wallscape,8th Avenue s/o 37th Street,10018 /,This huge wall is just 2 blocks north of Madison Square Garden & Penn Station. It faces northbound traffic on 8th Ave heading towards The Port Authority and Times Square. This wallscape is on the boarder of the Fashion District & trendy neighborhoods.,432 x 432,South,40.754,-73.993,542941
NY-535,Wallscape,8th Avenue 50' s/o 37th Street,10018 /,"This huge wall in the heart of the Garment District is just two blocks north of Madison
Square Garden, Penn Station and Moynihan Station. It faces northbound traffic on 8th Avenue,
one of Manhattan’s most important surface streets heading north, taking vehicular
traffic towards the Port Authority, 42nd Street/ Broadway Theater District, The New York
Times Building and further north to the Upper West Side, Columbus Circle and Central
Park. Borders the highly sought after neighborhoods of Hudson Yards , Midtown South,
and Hells Kitchen.",432 x 348,South,40.754,-73.993,734800
NJ-001,Wallscape,"14th St. east of Park Ave., FE",07030 / Hudson County,"Located on 14th St., the main arterial into and out of the north end of Hoboken, this hand-painted wall is seen by pedestrians and vehicles walking, biking and traveling along 14th St. and Park Ave. 
-hand painted wall",360 x 276,East,40.754,-74.029,26062
30501,Digital Poster,42nd Street @ 5th Avenue F/S (Southwest corner),10018 / New York County,,72 x 48,South,40.754,-73.981,18861
30033,Digital Bulletin,NORTHERN BOULEVARD CL 5F E OF BROADWAY,11377 / Queens County,,168 x 576,West,40.753,-73.907,408232
M53,Wallscape,West 36th St. @ Ave Of Americas,10018 / New York,"Keens Steakhouse across the St. and The Ragtrader, tons of eateries and hotels, High pedestrian traffic, 36th St. is a West to East throughway to the Midtown Tunnel. Previous advertisers on the same street:Volkswagon Golf, Timberland, Amazon Prime The Tick, Netflix Hasan Minhaj Standup Comedy Special, Herradura Silver Tequila",240 x 144,West,40.751,-73.986,383735
M254,Wallscape,31 St @ 8th Avenue,10016 / New York County,"Description: Wallscape directly across from MSG and Penn Station, huge
pedestrian flow in the heart of NYC. Area a major transit hub, sports and tourism
destination, and contains the highest concentration of hotels, nightlife,
restaurants, and offices in the entire city and state.",240 x 144,West,40.75,-73.994,176445
401C,Digital Bulletin,NJ Turnpike @ mm 108.4,07032 / Hudson,"Dual read bulletin for northbound traffic on Eastern and Western Spurs of the NJ Turnpike. It targets traffic heading towards I-495/Lincoln Tunnel, Route 3, Secaucus, Weehawkin and Hoboken, NJ on the eastern Spur. On the western spur, it targets traffic towards Met Life Stadium, I-80, the George Washington Bridge, Teterboro Airport and Rutherford, NJ.",168 x 576,South,40.749,-74.12,515504
403A,Bulletin,NJ Turnpike @ MM 108.4,07032 / Hudson,"This bulletin shows to traffic traveling on the Western Alignment of the New Jersey Turnpike. Traffic passing this location would be en-route to destinations such as the Newark International Airport as well as the suburban communities of North Jersey. Traffic originates from the George Washington Bridge, Interstate 80, and Route 3 as well as the Meadowlands Sports Complex.",168 x 576,North,40.749,-74.119,487212
NY-04,Wallscape,130 WEST 29TH STREET MANHATTAN,10001 / New York County,"Wallscape in central Manhattan. Located centrally just south of Times Square
and between Penn Station and the Empire State Building this wallscape captures
oneway pedestrian and vehicular traffic heading northwest on west 29th Street
between 6th and 7th Avenues.",126 x 264,South East,40.747,-73.991,130531
M283b,Wallscape,26th St. @ 7th Avenue,10001 / New York,"This wallscape display is one of the few wallscapes between 30th St. and the West Village on 7th Avenue.
Located just south of Madison Square Garden, this nice LHR shot is at the gateway to Chelsea. Vehicular traffic
heads south to the West Village, Tribeca and the Holland Tunnel. Chelsea is one of Manhattan’s hottest areas. With
new restaurants, hotels, art galleries, and at least a half dozen new residential condo developments within blocks",288 x 144,North,40.746,-73.994,1664960
M283a,Wallscape,26th St. @ 7th Avenue,10001 / New York,"This wallscape display is the one of the very few wallscapes between 30th St. and the West Village on 7th
Avenue. Located just south of Madison Square Garden, this wall is at the gateway to Chelsea. Northbound
pedestrian traffic and the East and West Side of 7th Avenue is very heavy all day. Chelsea is one of
Manhattan’s hottest areas. With new restaurants, hotels,art galleries, and at least a half dozen new residential
condo developments within blocks",564 x 60,South,40.746,-73.994,1483482
NY-05A,Bulletin,Queensboro/59th Street Bridge,11101 / Queens County,"One of the most heavily-trafficked bridges in all of New York, the toll-free Queensboro Bridge is a popular alternate to the Midtown Tunnel, connecting Midtown East Manhattan and the Long Island Expy and Queens Boulevard in Queens.",168 x 576,West,40.745,-73.936,225911
NY-03A,Bulletin,Thomas Ave @ Skillman Ave,11101 / Queens,"14’x48’ bulletin in Queens, New York with long approach views catching commuters going to and from Manhattan. This high pro le, two-sided bulletin reads to traf c on Thomson Avenue with secondary reads on Skillman Avenue. Queens is on Long Island across the East River from Manhattan. Queens is host of the annual U.S. Open tennis tournament and nearby Citi Field where the MLB NY Mets play.",168 x 576,West,40.745,-73.937,239827
NY-03B,Bulletin,Thomas Ave @ Skillman Ave,11101 / Queens,"14’x48’ bulletin in Queens, New York with long approach views catching commuters going to and from Manhattan. This high pro le, two-sided bulletin reads to traf c on Thomson Avenue with secondary reads on Skillman Avenue. Queens is on Long Island across the East River from Manhattan. Queens is host of the annual U.S. Open tennis tournament and nearby Citi Field where the MLB NY Mets play.",168 x 576,East,40.745,-73.937,274783
NY-3136,Wallscape,Thomson Ave w/o Van Dam Street,11101 / Queens,"This high-profile wallscape targets traffic exiting Manhattan over the Queensboro/59th
Street Bridge. One of the most heavily-trafficked bridges in all of New York, the toll-free
Queensboro Bridge is a popular alternate to the Midtown Tunnel, connecting Midtown
East Manhattan and the Long Island Expy and Queens Boulevard in Queens. This unit
is in the heart of Long Island City, the fastest growing neighborhood in NYC. Young professionals
are drawn to the areas luxury high-rise buildings with breathtaking city views,
restaurant scene and nightlife.",360 x 480,West,40.745,-73.934,228493
NY-3030,Wallscape,Thomson Ave & 30th Place,11101 / Queens,"This high-profile wallscape targets traffic exiting Manhattan over the Queensboro/59th
Street Bridge. One of the most heavily-trafficked bridges in all of New York, the toll-free
Queensboro Bridge is a popular alternate to the Midtown Tunnel, connecting Midtown
East Manhattan and the Long Island Expy and Queens Boulevard in Queens. This unit
is in the heart of Long Island City, the fastest growing neighborhood in NYC. Young professionals
are drawn to the areas luxury high-rise buildings with breathtaking city views,
restaurant scene and nightlife.",360 x 240,West,40.745,-73.936,310553
NY-05B,Poster,Queensboro/59th Street Bridge,11101 / Queens County,This poster is located directly outside Briarcliffe College and can be seen by motorists and pedestrians traveling along Thompson Ave. Also close by is LaGuardia Community College and Bard High School,126 x 273,East,40.745,-73.936,142952
M120,Wallscape,25th Street B/W 6th Ave & 7th Ave,10001 / New York County,"This wallscape unit in Chelsea, Manhattan, garners both heavy pedestrian and vehicular traffic. It is located directly across the street from WeWork and Peloton Interactive, and is two blocks away from the 23rd Street Subway Station",240 x 120,East,40.744,-73.993,168073
M136,Wallscape,West 24th B/W 7th & 8th Avenue,10011 / New York,"This wallscape unit in Chelsea, Manhattan, garners both heavy pedestrian and vehicular traffic. It is located directly
next door to Barcade and is two blocks away from the 23rd Street Subway Station. Nearby eateries and bars include
The Corner Cafe, 2 Bros Pizza, Smithfeld Hall, One Star, The Ainsworth, and Chelsea’s Fairway Market. Paws in
Chelsea pet grooming and day care directly across from this unit. Anheuser-Busch - Commercial Strategy Office a
few doors down. Area chocked full of hotels.",240 x 168,West,40.744,-73.994,101380
NY-3147,Wallscape,47th Avenue & 31st Street,11101 / Queens,"This huge wallscape is positioned directly in front of the Falchi Building, a
massive office building, which provides companies with a creative work
environment in close proximity to Midtown and Brooklyn. The Falchi Building is
home to the New York Taxi and Limousine Commission, which makes it the
preeminent destination to target taxi drivers. The Falchi Building is home to
many transportation companies including Uber, Lyft, Juno, and Via.",360 x 720,South East,40.743,-73.936,146000
Q4711,Wallscape,Van Dam Street @ 47th Ave,11101 / Queens County,Large illuminated wallscape in the heart of Long Island City on one of the busiest thoroughfares in the area. Strategically placed in between the Queensboro Bridge and Long Island Expressway Entrances to impact thousands of motorists on a daily basis including Midtown Manhattan and Long Island commuters.,216 x 216,North,40.742,-73.934,186937
NY.NY.SS1,Wallscape,"Meatpacking District @ Soho House, 29-35 9th Ave (btw 13th St &",10014 / New York County,"At the entrance to the Soho House, this Meatpacking District Streetscape is a can't miss. Located at street level, this location offers the perfect opportunity to reach the affluent, fahsionable, trendy crowd that frequents this Manhattan neighborhood known for its clubs, restaurants, retail and arts. If you want your brand to ""be seen"", this new Meatpacking Streetscape is the place to be.",132 x 288,West,40.741,-74.006,0
UAO-001,Bulletin,13th St. btwn Hudson & Ninth Ave.,10014 / New York,"Located in the heart of the Meatpacking District in Manhattan, this vertical Spectacular is located on the north wall of the Gansevoort Hotel. It is in the midst of popular and exclusive hotels, bars, restaurants, nightclubs, cafes, private clubs and fashion boutiques.",396 x 180,North,40.74,-74.006,152357
UAO-Rany Wall,Bulletin,Ninth Ave. between 13th St. and Little West 12th St.,10014 / New York,"Located in the heart of the Meatpacking District, this street-level spectacular is located on the west wall of the Gansevoort Hotel. It is surrounded by popular and exclusive
restaurants, bars, nightclubs, private clubs, hotels and fashion
boutiques.",132 x 186,West,40.74,-74.006,0
NYC FERRY / ASTORIA ROUTE,Digital Display,NYC FERRY / ASTORIA ROUTE,10001 / New York County,"LANDSCAPE SCREEN 36.8”H X 65.4”W / 1 PER VESSEL

PORTRAIT SCREEN 27.9”H X 15.7”W / 5 PER VESSEL

There is another line that covers Astoria, Long Island City , Roosevelt Island & the Brooklyn Navy Yard before reaching Wall Street.",0 x 0,,40.74,-73.965,0
Q498c,Wild Posting,Gale Ave @ Van Dam S.,11101 / Queens,"Located in the increasingly popular Long Island City, this
unit is viewed by pedestrians and motorists traveling along
Hunters Point Avenue and Van Dam St. Close by is the
number 7 train which runs from Manhattan to Flushing,
Queens as well as Queens Blvd and the Long Island
Expressway.",96 x 432,North,40.74,-73.935,222300
Q498b,Wild Posting,Hunters Point Ave @ Van Dam St,11101 / Queens,"Located in the increasingly popular Long Island City, this
unit is viewed by pedestrians and motorists traveling along
Hunters Point Avenue as well as Van Dam St. Close by is
the number 7 train which runs from Manhattan to Flushing,
Queens as well as Queens Blvd and the Long Island
Expressway.",84 x 408,North,40.74,-73.935,229749
439D,Digital Bulletin,Routes 1 & 9 @ Westside Ave,07306 /,"Dual view bulletin that reads to eastbound traffic traveling on Routes 1 & 9 and Route 7. Traffic heading towards Manhattan via the Holland Tunnel, Jersey City, and Hoboken.More than 34 million vehicles use the Holland Tunnel annually",168 x 576,West,40.74,-74.07,257012
